prior,gene,lineage,atac_argmax,correct
old_guessed_names,CD3D,T,NK_cytotoxic_T,1
old_guessed_names,CD3E,T,NK_cytotoxic_T,1
old_guessed_names,CD8A,T,Hepatocyte,0
old_guessed_names,IL7R,T,Hepatocyte,0
old_guessed_names,NKG7,T,Hepatocyte,0
old_guessed_names,GNLY,T,NK_cytotoxic_T,1
old_guessed_names,MS4A1,B,Hepatocyte,0
old_guessed_names,CD79A,B,B_cell,1
old_guessed_names,CD79B,B,NK_cytotoxic_T,0
old_guessed_names,CD19,B,DC,0
old_guessed_names,BANK1,B,NK_cytotoxic_T,0
old_guessed_names,CSF1R,Mac,Hepatocyte,0
old_guessed_names,CD68,Mac,NK_cytotoxic_T,0
old_guessed_names,MRC1,Mac,Hepatocyte,0
old_guessed_names,MSR1,Mac,Hepatocyte,0
old_guessed_names,CD163,Mac,B_cell,0
old_guessed_names,ITGAM,Mac,Macrophage,1
old_guessed_names,ALB,Hep,DC,0
old_guessed_names,APOB,Hep,Hepatocyte,1
old_guessed_names,HNF4A,Hep,CD4_T,0
old_guessed_names,TTR,Hep,NK_cytotoxic_T,0
old_guessed_names,APOA1,Hep,B_cell,0
new_proximal,CD3D,T,NK_cytotoxic_T,1
new_proximal,CD3E,T,NK_cytotoxic_T,1
new_proximal,CD8A,T,NK_cytotoxic_T,1
new_proximal,IL7R,T,CD4_T,0
new_proximal,NKG7,T,NK_cytotoxic_T,1
new_proximal,GNLY,T,NK_cytotoxic_T,1
new_proximal,MS4A1,B,DC,0
new_proximal,CD79A,B,DC,0
new_proximal,CD79B,B,DC,0
new_proximal,CD19,B,DC,0
new_proximal,BANK1,B,B_cell,1
new_proximal,CSF1R,Mac,Macrophage,1
new_proximal,CD68,Mac,Macrophage,1
new_proximal,MRC1,Mac,B_cell,0
new_proximal,MSR1,Mac,B_cell,0
new_proximal,CD163,Mac,Hepatocyte,0
new_proximal,ITGAM,Mac,DC,0
new_proximal,ALB,Hep,Hepatocyte,1
new_proximal,APOB,Hep,Hepatocyte,1
new_proximal,HNF4A,Hep,Hepatocyte,1
new_proximal,TTR,Hep,Hepatocyte,1
new_proximal,APOA1,Hep,B_cell,0
new_enhancer,CD3D,T,NK_cytotoxic_T,1
new_enhancer,CD3E,T,NK_cytotoxic_T,1
new_enhancer,CD8A,T,NK_cytotoxic_T,1
new_enhancer,IL7R,T,CD4_T,0
new_enhancer,NKG7,T,NK_cytotoxic_T,1
new_enhancer,GNLY,T,NK_cytotoxic_T,1
new_enhancer,MS4A1,B,DC,0
new_enhancer,CD79A,B,DC,0
new_enhancer,CD79B,B,DC,0
new_enhancer,CD19,B,DC,0
new_enhancer,BANK1,B,B_cell,1
new_enhancer,CSF1R,Mac,Macrophage,1
new_enhancer,CD68,Mac,B_cell,0
new_enhancer,MRC1,Mac,B_cell,0
new_enhancer,MSR1,Mac,B_cell,0
new_enhancer,CD163,Mac,Hepatocyte,0
new_enhancer,ITGAM,Mac,DC,0
new_enhancer,ALB,Hep,Hepatocyte,1
new_enhancer,APOB,Hep,Hepatocyte,1
new_enhancer,HNF4A,Hep,Hepatocyte,1
new_enhancer,TTR,Hep,Hepatocyte,1
new_enhancer,APOA1,Hep,B_cell,0
